WEEK	MISSING	TOTAL	COVERAGEPCT
2022-08-07	5166	8619	0.4006265227984685
2022-08-14	5130	8557	0.400490826224144
2022-08-21	5196	8624	0.39749536178107608
2022-08-28	5207	8681	0.40018431056329917
2022-09-04	5208	8684	0.40027637033625058
2022-09-11	5170	8663	0.40320904998268497
2022-09-18	5176	8716	0.40614960991280402
2022-09-25	5190	8725	0.40515759312320915
2022-10-02	5194	8727	0.40483556777815971
2022-10-09	5205	8800	0.40852272727272726
2022-10-16	5216	8837	0.40975444155256308
2022-10-23	5214	8834	0.4097803939325334
2022-10-30	5234	8849	0.40852073680641882
2022-11-06	5254	8915	0.41065619742007853
2022-11-13	5254	8915	0.41065619742007853
2022-11-20	5332	9061	0.41154397969319062
2022-11-27	5347	9085	0.41144744083654378
2022-12-04	5466	9258	0.40959170447180815
2022-12-11	5498	9320	0.41008583690987127
2022-12-18	5518	9372	0.41122492530943233
2022-12-25	5567	9456	0.41127326565143824
2023-01-01	5569	9462	0.41143521454238002
2023-01-12	5626	9533	0.40983950487779292
